,Samples,FPI (m²s/kW),FGI (kW/m²s),PHRR (kW/m²),THR (mJ/m²),MLR (g/s),EHC (MJ/kg),TSR (m²/m²),TSP (m²),SEA (m/kg),Residue (%),TTI (s),FGI (kW/m²s)_err,Vectors,Ref
0,96+4,0.25,3.1,392.0,59.0,0.045,23.7,197066.0,17.4,789.0,29.0,,,"['(0.96)', '(0.04)']",j.polymdegradstab.2015.08.005
1,955,0.32,2.7,308.0,495.0,0.036,23.2,1107.0,9.8,53016.0,33.0,,,['(955)'],j.polymdegradstab.2015.08.005
2,96+5,0.37,2.2,257.0,53.0,0.036,25.4,1115.0,9.9,431.0,41.0,,,"['(0.96)', '(0.05)']",j.polymdegradstab.2015.08.005
3,98+6,0.45,1.7,217.0,407.0,0.036,24.6,1114.0,9.8,507.0,49.0,,,"['(98)', '(6)']",j.polymdegradstab.2015.08.005
4,92+8,0.37,2.2,251.0,57.0,0.033,25.01,148079.0,12.9,506.0,52.0,,,"['(0.92)', '(0.08)']",j.polymdegradstab.2015.08.005
5,BD,0.25,3.1,392.0,59.0,0.045,23.7,197066.0,17.4,789.0,29.0,96.0,,['BD'],j.polymdegradstab.2015.08.005
6,PMI-HSi5/BD,0.32,2.7,308.0,495.0,0.036,23.2,1107.0,9.8,53016.0,33.0,95.0,,"['PMI-HSi5', 'BD']",j.polymdegradstab.2015.08.005
7,PMI-HSi10/BD,0.37,2.2,257.0,53.0,0.036,25.4,1115.0,9.9,43110.0,41.0,96.0,,"['PMI-HSi(10)', 'BD']",j.polymdegradstab.2015.08.005
8,PMI-HSi15/BD,0.45,1.7,217.0,407.0,0.036,24.6,1114.0,9.8,507.0,49.0,98.0,,"['PMI-HSi(15)', 'BD']",j.polymdegradstab.2015.08.005
9,BD,0.25,3.14,392.0,59.0,0.045,23.7,197066.0,17.4,789.0,29.0,96.0,0.6,['BD'],j.polymdegradstab.2015.08.005
10,PMI-HSi15/BD,0.45,1.7,217.0,407.0,0.036,24.6,1114.0,9.8,507.0,491.0,98.0,0.1,"['PMI-HSi(15)', 'BD']",j.polymdegradstab.2015.08.005
11,PMI-HSi20/BD,0.37,2.2,251.0,57.0,0.033,25.01,148079.0,12.9,506.0,52.0,92.0,0.2,"['PMI-HSi(20)', 'BD']",j.polymdegradstab.2015.08.005
12,PMI-HSi5/BD,0.32,2.7,308.0,49.0,0.036,23.2,1107.0,9.8,53016.0,33.0,95.0,0.1,"['PMI-HSi5', 'BD']",j.polymdegradstab.2015.08.005
13,PMI-HSi10/BD,0.37,2.2,257.0,53.0,0.036,25.4,1115.0,9.9,431.0,41.0,96.0,0.2,"['PMI-HSi(10)', 'BD']",j.polymdegradstab.2015.08.005
