,Samples,LOI (%),UL-94,TTI (s),PHRR (kW/m²),Time PHRR (s),FIGRA (kW/m²s),Burning time (s),THR (MJ/m²),EHC (MJ/kg),MARHE (kW/m²),Residue (wt%),(°C),Time of the appearance of carbamate FTIR peak (min),PT-30,DGEBA,DOPO,AR917,DY070,T5% (°C),T50% (°C),dTGmax (mass%/°C),TdTGmax (°C),Char yield (600 °C) (wt%),Vectors,Ref
0,DGEBA,33.0,HB,55.0,176.0,197.0,0.9,355.0,37.9,13.8,112.2,50.0,,,,,,,,,,,,,['DGEBA'],j.polymdegradstab.2016.02.015
1,20% PT-30 - 80% DGEBA,41.0,HB,51.0,162.0,156.0,1.0,301.0,29.9,14.7,95.8,61.0,,,,,,,,,,,,,"['(0.2)PT-30', '(0.8)DGEBA']",j.polymdegradstab.2016.02.015
2,40% PT-30 - 60% DGEBA,42.0,V-0,87.0,134.0,178.0,0.8,308.0,21.8,13.2,69.1,70.0,,,,,,,,,,,,,"['(0.4)PT-30', '(0.6)DGEBA']",j.polymdegradstab.2016.02.015
3,20% PT-30 - 80% DGEBA,33.0,HB,50.0,471.0,113.0,4.2,176.0,59.5,18.5,223.9,0.0,161.0,-,20.0,80.0,-,-,-,377.0,426.0,1.9,422.0,20.0,"['(0.2)PT-30', '(0.8)DGEBA']",j.polymdegradstab.2016.02.015
4,40% PT-30 - 60% DGEBA,28.0,HB,50.0,238.0,167.0,1.4,345.0,55.1,13.2,160.5,14.0,214.0,-,40.0,60.0,-,-,-,373.0,424.0,1.24,399.0,30.0,"['(0.4)PT-30', '(0.6)DGEBA']",j.polymdegradstab.2016.02.015
5,40% PT-30 - DGEBA - DOPO 2% P,43.0,V-0,53.0,195.0,168.0,1.2,301.0,36.3,11.6,116.2,23.0,162.0,,40.0,46.06,13.94,-,-,,,,,,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015
6,40% PT-30 - DGEBA - DOPO 3% P,45.0,V-0,44.0,234.0,179.0,1.3,315.0,47.5,13.3,142.9,22.0,141.0,,40.0,39.1,20.9,-,-,,,,,,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015
7,DGEBA,23.0,HB (17.1 + 2),40.0,743.0,129.0,6.6,217.0,91.0,19.4,364.3,0.0,149.0,,-,52.3,-,47.1,0.6,302.0,398.0,1.57,395.0,10.0,['DGEBA'],j.polymdegradstab.2016.02.015
8,Flame retarded samples,,,,,,,,,,,,,,,,,,,,,,,,['Flameretardedsamples'],j.polymdegradstab.2016.02.015
9,PT-30,30.0,HB,26.0,156.0,44.0,3.5,180.0,15.5,11.9,91.7,48.0,387.0,-,100.0,-,-,-,-,,,,,,['PT-30'],j.polymdegradstab.2016.02.015
10,Reference samples,,,,,,,,,,,,,,,,,,,,,,,,['Referencesamples'],j.polymdegradstab.2016.02.015
11,PT-30,58.0,V-0,80.0,84.0,124.0,0.7,257.0,9.8,10.4,38.0,81.0,,,,,,,,415.0,-,0.64,435.0,70.0,['PT-30'],j.polymdegradstab.2016.02.015
12,40% PT-30 - DGEBA - DOPO 2%P,46.0,V-0,72.0,101.0,195.0,0.5,401.0,20.1,11.2,61.1,67.0,,420.0,,,,,,351.0,426.0,0.94,396.0,32.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015
13,40% PT-30 - DGEBA - DOPO 3%P,48.0,V-0,70.0,84.0,233.0,0.4,372.0,18.7,10.1,53.6,67.0,,60.0,,,,,,347.0,443.0,0.68,384.0,35.0,"['(0.4)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015
14,20% PT-30 - DGEBA - DOPO 2% P,42.0,V-0,42.0,261.0,177.0,1.5,279.0,49.0,12.3,161.8,15.0,129.0,1260.0,20.0,66.06,13.94,-,-,339.0,401.0,1.16,389.0,25.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015
15,20% PT-30 - DGEBA - DOPO 3% P,40.0,V-0,27.0,218.0,156.0,1.4,380.0,50.3,11.8,150.5,14.0,108.0,240.0,20.0,59.1,20.9,-,-,306.0,399.0,0.72,379.0,26.0,"['(0.2)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015
16,25% PT-30 - DGEBA - DOPO 3% P,42.0,V-0,45.0,218.0,155.0,1.4,375.0,46.0,12.1,134.6,17.0,113.0,120.0,24.55,54.56,20.9,-,-,320.0,408.0,0.68,376.0,25.0,"['(0.25)PT-30', 'DGEBA', 'DOPO(0.03)P']",j.polymdegradstab.2016.02.015
17,30% PT-30 - DGEBA - DOPO 2% P,40.0,V-0,50.0,207.0,207.0,1.0,309.0,42.0,11.4,130.8,18.0,150.0,420.0,29.8,56.26,13.94,-,-,346.0,411.0,1.12,398.0,26.0,"['(0.3)PT-30', 'DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015
18,DGEBA - DOPO 2% P,29.0,V-1,32.0,477.0,134.0,3.6,226.0,65.1,13.5,252.6,0.0,106.0,,-,56.61,13.94,29.12,0.32,311.0,387.0,1.43,383.0,10.0,"['DGEBA', 'DOPO(0.02)P']",j.polymdegradstab.2016.02.015
