,Samples,Element C,composition N (wt%),composition o (wt%),composition P (wt%),EG content (%),P content (%),LOI (%),UL-94,DGEBA/DDS (g),EG (g),DOPO (g),HPCP (g),EG content (wt%),P content (wt%),T5% (°C),Tmax (°C),Char yields at 800 C (%),Vectors,Ref
0,EG,,,,,,,,,,,,,,,333.0,-,89.0,['EG'],j.polymdegradstab.2016.03.017
1,EP/DDS,,,,,0.0,0.0,22.5,NR,100.0,0.0,0.0,0.0,0.0,0.0,379.0,415.0,16.0,"['EP', 'DDS']",j.polymdegradstab.2016.03.017
2,EP/DOPO,,,,,0.0,1.1,34.5,V-1,92.3,0.0,7.7,0.0,0.0,1.1,342.0,368.0,27.0,"['EP', 'DOPO']",j.polymdegradstab.2016.03.017
3,EP/EG,92.36,3.44,4.2,0.0,20.0,0.0,31.0,NR,80.0,20.0,0.0,0.0,20.0,0.0,344.0,412.0,31.0,"['EP', 'EG']",j.polymdegradstab.2016.03.017
4,EP/EG/DOPO-1,,,,,16.0,0.57,35.0,V-1,80.0,16.0,4.0,0.0,16.0,0.57,322.0,398.0,32.3,"['EP', 'EG', 'DOPO-1']",j.polymdegradstab.2016.03.017
5,EP/EG/DOPO-2,,,,,14.0,0.86,38.0,V-0,80.0,14.0,6.0,0.0,14.0,0.86,326.0,394.0,31.7,"['EP', 'EG', 'DOPO-2']",j.polymdegradstab.2016.03.017
6,EP/EG/DOPO-3,79.19,6.05,13.54,1.23,12.0,1.15,42.0,V-0,80.0,12.0,8.0,0.0,12.0,1.15,327.0,389.0,28.4,"['EP', 'EG', 'DOPO-3']",j.polymdegradstab.2016.03.017
7,EP/EG/DOPO-4,,,,,10.0,1.44,41.5,V-0,80.0,10.0,10.0,0.0,10.0,1.44,326.0,383.0,29.1,"['EP', 'EG', 'DOPO-4']",j.polymdegradstab.2016.03.017
8,EP/EG/HPCP-1,,,,,16.0,0.54,33.5,V-1,80.0,16.0,0.0,4.0,16.0,0.54,320.0,389.0,32.0,"['EP', 'EG', 'HPCP-1']",j.polymdegradstab.2016.03.017
9,EP/EG/HPCP-2,,,,,14.0,0.81,36.0,V-0,80.0,14.0,0.0,6.0,14.0,0.81,318.0,380.0,31.3,"['EP', 'EG', 'HPCP-2']",j.polymdegradstab.2016.03.017
10,EP/EG/HPCP-3,80.34,6.51,11.48,1.67,12.0,1.07,40.5,V-0,80.0,12.0,0.0,8.0,12.0,1.07,321.0,370.0,32.5,"['EP', 'EG', 'HPCP-3']",j.polymdegradstab.2016.03.017
11,EP/EG/HPCP-4,,,,,10.0,1.34,39.0,V-0,80.0,10.0,0.0,10.0,10.0,1.34,316.0,364.0,31.0,"['EP', 'EG', 'HPCP-4']",j.polymdegradstab.2016.03.017
12,EP/HPCP,,,,,0.0,1.1,32.5,V-1,91.8,0.0,0.0,8.2,0.0,1.1,344.0,372.0,30.0,"['EP', 'HPCP']",j.polymdegradstab.2016.03.017
