,Samples,PHRR (W/g),THR (kJ/g),Tp (°C),TTI (s),PHRR (kW/m²),THR (MJ/m²),Tp (s),FIGRA (kW/m²s),MAHRE® (kW/m2),TSR (m²/m²),TSP (m²),Residue (wt%),Unnamed: 1,Tonset (°C),Tmax1 (°C),Tmax2 (°C),amax1 (%/°C),a-max2 (%/°C),Residue at 500 °C (wt%),Residue at 700 °C (wt%) Test values,Residue at 700 °C (wt%) Calculated values,DGEBA (g),DDM (g),BPA-BPP (g),BPA-BPP (wt%),.1,EP,EP/9%BPA-BPP,Vectors,Ref
0,BPA-BPP,,,,,,,,,,,,,N2,276.2,305.9,/,0.189,,66.1,58.9,,,,,,,,,['BPA-BPP'],j.polymdegradstab.2016.08.013
1,BPA-BPP,,,,,,,,,,,,,Air,284.7,345.3,393.7,0.201,0.161,66.4,56.1,/,,,,,,,,['BPA-BPP'],j.polymdegradstab.2016.08.013
2,EP,709.6,32.8,395.9,82.0,1148.0,88.4,135.0,8.5,312.0,6564.0,58.0,4.4,,386.1,400.8,/,2.23,,21.7,16.4,,80.0,21.5,-,,,,,['EP'],j.polymdegradstab.2016.08.013
3,EP,709.6,32.8,395.9,82.0,1148.0,88.4,135.0,8.5,312.0,6564.0,58.0,4.4,,380.7,390.6,573.8,2.01,0.476,44.0,0.8,/,80.0,21.5,-,,,,,['EP'],j.polymdegradstab.2016.08.013
4,EP/3%BPA-BPP,482.8,27.4,379.6,,,,,,,,,,,331.7,371.3,/,1.296,,27.6,23.7,17.7,80.0,21.5,3.1,3.0,,,,"['EP', '(0.03)BPA-BPP']",j.polymdegradstab.2016.08.013
5,EP/3%BPA-BPP,482.8,27.4,379.6,,,,,,,,,,,337.0,359.1,577.6,1.271,0.297,34.6,4.4,2.5,80.0,21.5,3.1,3.0,,,,"['EP', '(0.03)BPA-BPP']",j.polymdegradstab.2016.08.013
6,EP/6%BPA-BPP,450.1,26.2,363.8,,,,,,,,,,,330.5,365.9,/,1.301,,28.0,24.7,19.0,80.0,21.5,6.5,6.0,,,,"['EP', '(0.06)BPA-BPP']",j.polymdegradstab.2016.08.013
7,EP/6%BPA-BPP,450.1,26.2,363.8,,,,,,,,,,,326.2,355.8,577.3,1.34,0.264,34.9,7.6,4.1,80.0,21.5,6.5,6.0,,,,"['EP', '(0.06)BPA-BPP']",j.polymdegradstab.2016.08.013
8,EP/9%BPA-BPP,433.8,26.0,352.8,72.0,457.0,78.4,150.0,3.0,207.0,4522.0,40.0,22.7,,328.9,360.3,,1.25,,30.1,26.3,20.2,80.0,21.5,10.0,9.0,,,,"['EP', '(0.09)BPA-BPP']",j.polymdegradstab.2016.08.013
9,EP/9%BPA-BPP,433.8,26.0,352.8,72.0,457.0,78.4,150.0,3.0,207.0,4522.0,40.0,22.7,,324.1,354.0,576.4,1.498,0.248,33.0,8.7,5.8,80.0,21.5,10.0,9.0,,,,"['EP', '(0.09)BPA-BPP']",j.polymdegradstab.2016.08.013
10,Flynn-Wall-Ozawa eq,,,,,,,,,,,,,,,,,,,,,,,,,,a,57.4,55.3,"['Flynn', 'Wall', 'Ozawaeq']",j.polymdegradstab.2016.08.013
11,Kissinger di and Crane eqe,,,,,,,,,,,,,,,,,,,,,,,,,,E2 a,53.1,50.9,['KissingerdiandCraneeqe'],j.polymdegradstab.2016.08.013
