,Samples,C on surface (%),N on surface (%),O on surface (%),P on surface (%),tti / S,R / kWm / kW-m-2 / kW-m-2,THR (MJ/m²),RHE / kW.m / kW.m-2 / kW-m-2,TSR (m²/m²),THR-ML-1W-m-2.g/ kW-m-2.g-1 / kW.m-2.g-1,Residue (%),X,UL-94,tti / S_err,R / kWm / kW-m-2 / kW-m-2_err,THR (MJ/m²)_err,RHE / kW.m / kW.m-2 / kW-m-2_err,TSR (m²/m²)_err,Residue (%)_err,Vectors,Ref
0,+ 10% HFC-X: 1200 S at 60 kW.m-2,90.2,5.1,3.7,0.8,,,,,,,,,,,,,,,,"['(0.1)HFC', 'X:(1200)Sat60kW.m2']",j.polymdegradstab.2021.109497
1,+ 10% NPF400,,,,,28.0,566.0,79.0,267.0,4319.0,2.78,59.0,0.46,0.0,2.0,21.0,1.0,5.0,105.0,1.0,"['', '(0.1)NPF400']",j.polymdegradstab.2021.109497
2,+ 10% RDP: 1200 S at 60 kW.m-2,86.4,4.2,7.1,1.3,,,,,,,,,,,,,,,,['(0.1)RDP:1200Sat60kW.m-2'],j.polymdegradstab.2021.109497
3,+ 10% RDP: 1500 S at 60 kW-m-2,89.1,5.2,4.4,0.9,,,,,,,,,,,,,,,,"['(0.1)RDP:1500Sat60kW', 'm(2)']",j.polymdegradstab.2021.109497
4,+ 10% RDP: 300 S at 60 kW.m-2,82.5,3.7,6.6,5.3,,,,,,,,,,,,,,,,['(0.1)RDP:300Sat60kW.m-2'],j.polymdegradstab.2021.109497
5,+ 10% RDP: 600 S at 60 kW.m-²,86.4,5.3,6.5,1.8,,,,,,,,,,,,,,,,['(0.1)RDP:600Sat60kW.m-²'],j.polymdegradstab.2021.109497
6,+ 10% SPB100,,,,,30.0,413.0,59.0,194.0,4978.0,2.18,61.0,0.45,0.0,0.0,28.0,2.0,18.0,309.0,3.0,"['', '(0.1)SPB100']",j.polymdegradstab.2021.109497
7,+ 10% SPB100*: 1200 S at 60 kW.m-2,90.5,6.5,2.6,0.4,,,,,,,,,,,,,,,,['(0.1)SPB100*:1200Sat60kW.m-2'],j.polymdegradstab.2021.109497
8,+ 5% SPB100 + 5% NPF400,,,,,30.0,368.0,58.0,193.0,4828.0,2.37,66.0,0.44,0.0,2.0,45.0,4.0,18.0,249.0,3.0,"['', '(0.05)SPB100', '(0.05)NPF400']",j.polymdegradstab.2021.109497
9,+ 7% SPB100 + 3% NPF400,,,,,28.0,437.0,60.0,203.0,4308.0,2.21,62.0,0.42,0.0,2.0,32.0,2.0,4.0,162.0,1.0,"['', '(0.07)SPB100', '(0.03)NPF400']",j.polymdegradstab.2021.109497
10,RTM6 + CF,,,,,31.0,492.0,72.0,242.0,3763.0,2.51,59.0,0.43,0.0,2.0,19.0,1.0,5.0,165.0,1.0,"['RTM6', 'CF']",j.polymdegradstab.2021.109497
