,Samples,P content (wt%),Tgb (°C),T5% C (C),CY (wt%),LOI (%),UL-94,Reduction PHRR (%),Reduction THR (%),Ref.,Curing agent,Tg (°C),Unnamed: 2,Vectors,Ref
0,DDM + BPD,0.75,160.0,310.0,18.1,36.9,0.0,21.7,31.4,86.0,,,,"['DDM', 'BPD']",j.progpolymsci.2021.101366
1,DDM + DPT,0.75,169.0,322.0,17.8,36.5,0.0,28.6,30.9,87.0,,,,"['DDM', 'DPT']",j.progpolymsci.2021.101366
2,DDS + DIB,0.75,186.0,347.0,24.0,36.8,0.0,58.4,27.3,88.0,,,,"['DDS', 'DIB']",j.progpolymsci.2021.101366
3,DDS + DIB,0.75,192.0,339.0,23.5,36.7,0.0,41.1,24.2,89.0,,,,"['DDS', 'DIB']",j.progpolymsci.2021.101366
4,0D,,,,,,,,,,,,Zero-dimensional,['(0)D'],j.progpolymsci.2021.101366
5,1D,,,,,,,,,,,,One-dimensional,['(1)D'],j.progpolymsci.2021.101366
6,2D,,,,,,,,,,,,Two-dimensional,['(2)D'],j.progpolymsci.2021.101366
7,3D,,,,,,,,,,,,Three-dimensional,['(3)D'],j.progpolymsci.2021.101366
8,AHRR,,,,,,,,,,,,Average of heat release rate,['AHRR'],j.progpolymsci.2021.101366
9,AI,,,,,,,,,,,,1-(3-Aminopropyl)-imidazole,['AI'],j.progpolymsci.2021.101366
10,APP,,,,,,,,,,,,Ammonium polyphosphate,['APP'],j.progpolymsci.2021.101366
11,BAMPO,,,,,,,,,,,,is(m-aminophenyl)methylphosphine oxide,['BAMPO'],j.progpolymsci.2021.101366
12,BDP,,,,,,,,,,,,Bisphenol A bis(diphenyl phosphate),['BDP'],j.progpolymsci.2021.101366
13,BEU-EP,5.18,,,23.4,38.4,V-0,,,74.0,DDM,112.0,,"['BEU', 'EP']",j.progpolymsci.2021.101366
14,BIM,,,,,,,,,,,,Benzimidazole,['BIM'],j.progpolymsci.2021.101366
15,BPHPPO-EP,7.79,,,51.8,34.0,/,,,68.0,DDS,/,,"['BPHPPO', 'EP']",j.progpolymsci.2021.101366
16,CNT,,,,,,,,,,,,Carbon nanotube,['CNT'],j.progpolymsci.2021.101366
17,CTP-EP,,,,,,,,,,,,Hexa-[4-(glycidyloxycarbonyl),"['CTP', 'EP']",j.progpolymsci.2021.101366
18,CY,,,,,,,,,,,,Char yield,['CY'],j.progpolymsci.2021.101366
19,D230,,,,,,,,,,,,"o, O'-Bis(2-aminopropyl)polypropyleneglyco)",['D230'],j.progpolymsci.2021.101366
20,DDM,,,,,,,,,,,,"4, 4'-Methylene-dianiline",['DDM'],j.progpolymsci.2021.101366
21,DDS,,,,,,,,,,,,"4, 4'-Diaminodiphenyl sulfone",['DDS'],j.progpolymsci.2021.101366
22,DETA,,,,,,,,,,,,Diethylenetriamine,['DETA'],j.progpolymsci.2021.101366
23,DGEBA,,,,,,,,,,,,Diglycidyl ether of bisphenol A,['DGEBA'],j.progpolymsci.2021.101366
24,DICY,,,,,,,,,,,,Dicyandiamide,['DICY'],j.progpolymsci.2021.101366
25,DMA,,,,,,,,,,,,Dynamic mechanical analysis,['DMA'],j.progpolymsci.2021.101366
26,DOPO,,,,,,,,,,,,"9, 10-Dihydro-9-oxa-10-phosphaphenanthrene-10- oxide",['DOPO'],j.progpolymsci.2021.101366
27,DSC,,,,,,,,,,,,Differential scanning calorimetry,['DSC'],j.progpolymsci.2021.101366
28,EHPP,,,,,,,,,,,,Phosphonohydrazidic acid,['EHPP'],j.progpolymsci.2021.101366
29,EP,,,,,,,,,,,,Epoxy resin,['EP'],j.progpolymsci.2021.101366
30,EP1,6.5,,,53.0,31.4,V-0,,,71.0,DDM,183.0,,['EP1'],j.progpolymsci.2021.101366
31,EP2,7.18,,,58.0,32.8,V-0,,,71.0,DDM,214.0,,['EP2'],j.progpolymsci.2021.101366
32,FT-IR,,,,,,,,,,,,Fourier transform infrared spectroscopy,"['FT', 'IR']",j.progpolymsci.2021.101366
33,GO,,,,,,,,,,,,Graphene oxide,['GO'],j.progpolymsci.2021.101366
34,HGCP,,,,,,,,,,,,Hexaglycidyl cyclotriphosphazene,['HGCP'],j.progpolymsci.2021.101366
35,HRR,,,,,,,,,,,,Heat release rate,['HRR'],j.progpolymsci.2021.101366
36,IFR,,,,,,,,,,,,Intumescent flame retardant,['IFR'],j.progpolymsci.2021.101366
37,IPDA,,,,,,,,,,,,Isophorone diamine,['IPDA'],j.progpolymsci.2021.101366
38,LDH,,,,,,,,,,,,Layered double hydroxide,['LDH'],j.progpolymsci.2021.101366
39,LOI,,,,,,,,,,,,Limited oxygen index,['LOI'],j.progpolymsci.2021.101366
40,MCC,,,,,,,,,,,,Micro combustion calorimeter,['MCC'],j.progpolymsci.2021.101366
41,MMT,,,,,,,,,,,,Montmorillonite,['MMT'],j.progpolymsci.2021.101366
42,MeHHPA,,,,,,,,,,,,Methylhexahydrophthalic anhydride,['MeHHPA'],j.progpolymsci.2021.101366
43,MeTHPA,,,,,,,,,,,,Methyl tetrahydrophthalic anhydride,['MeTHPA'],j.progpolymsci.2021.101366
44,NR,,,,,,,,,,,,No rating,['NR'],j.progpolymsci.2021.101366
45,PA,,,,,,,,,,,,Phytic acid,['PA'],j.progpolymsci.2021.101366
46,PEI,,,,,,,,,,,,Polyethylenimine,['PEI'],j.progpolymsci.2021.101366
47,PEPA,,,,,,,,,,,,"1-Oxo-4-hydroxymethyl-2,6,7-trioxa-",['PEPA'],j.progpolymsci.2021.101366
48,PHRR,,,,,,,,,,,,Peak heat release rate,['PHRR'],j.progpolymsci.2021.101366
49,PMDA,,,,,,,,,,,,Pyromellitic dianhydride,['PMDA'],j.progpolymsci.2021.101366
50,PN,,,,,,,,,,,,Phenol novolac,['PN'],j.progpolymsci.2021.101366
51,POSS,,,,,,,,,,,,Polyhedral oligomeric silsesquioxane,['POSS'],j.progpolymsci.2021.101366
52,PPA,,,,,,,,,,,,Polyphosphamide,['PPA'],j.progpolymsci.2021.101366
53,SDR,,,,,,,,,,,,Smoke density rate,['SDR'],j.progpolymsci.2021.101366
54,SEM,,,,,,,,,,,,Scanning electron microscopy,['SEM'],j.progpolymsci.2021.101366
55,SPR,,,,,,,,,,,,Smoke production release,['SPR'],j.progpolymsci.2021.101366
56,T10%,,,,,,,,,,,,Temperature at which the thermoset undergoes 10 wt% of weight loss,['T(0.1)'],j.progpolymsci.2021.101366
57,T2%,,,,,,,,,,,,Temperature at which the thermoset undergoes 2 wt% of weight loss,['T(0.02)'],j.progpolymsci.2021.101366
58,T5%,,,,,,,,,,,,Temperature at which the thermoset undergoes 5 wt% of weight loss,['T(0.05)'],j.progpolymsci.2021.101366
59,TEPA,,,,,,,,,,,,Tetraethylenepentamine,['TEPA'],j.progpolymsci.2021.101366
60,h-BN,,,,,,,,,,,,Hexagonal boron nitride,"['h', 'BN']",j.progpolymsci.2021.101366
61,mPDA,,,,,,,,,,,,"1,3-Phenylenediamine",['mPDA'],j.progpolymsci.2021.101366
62,rGO,,,,,,,,,,,,Graphene,['rGO'],j.progpolymsci.2021.101366
