Ref,Samples,V(EA),SM_Av_Tg (MPa),SM_Ap_Tg (MPa),Tg (°C),Index
00405000.2021.1958543,1CNC-Epoxy 82.2,"['1CNC', 'DGEBA']",1796,14.4,96.8,1
00405000.2021.1958543,3CNC-Epoxy 70.5,"['3CNC', 'DGEBA']",2490,17.1,85.5,2
00405000.2021.1958543,5CNC-Epoxy 60.1,"['5CNC', 'DGEBA']",2574,23.1,82.1,3
00405000.2021.1958543,Epoxy N/A,['DGEBA'],2217,16.9,97.2,4
amr.853.28_3_1,GEHP 1,['GEHP1'],12614,173,88.9,5
amr.853.28_3_1,GEHP1-tb,['GEHP1-tb'],11998,404.2,89.25,6
amr.853.28_3_1,GEHP2,['GEHP2'],13558,199.1,88.01,7
amr.853.28_3_1,GEHP2-tb,['GEHP2-tb'],13444,534.9,89.78,8
amr.853.28_3_1,GEHPO,['GEHPO'],11912,144,87.05,9
amr.853.28_3_1,GEHPO-t6,['GEHPO-t6'],10510,480,86.93,10
app.43124,E+ -10wt % ENP,"['EP', '(0.1)ENP']",2282.35,21.33,70,11
app.43124,E+2 wt % ENP,"['EP', '(0.02)ENP']",2484.02,76.13,80,12
app.43124,E+3 wt % ENP,"['EP', '(0.03)ENP']",2229.3,76.21,92.5,13
app.43124,E+4 wt % ENP,"['EP', '(0.04)ENP']",2531.23,61.08,95,14
app.43124,E+5 wt % ENP,"['EP', '(0.05)ENP']",2110.15,22.41,80,15
app.43124,E+1 wt % ENP,"['EP', '(0.01)ENP']",2301,35,75,16
app.43124,Neat,['EP'],2075.32,35.12,85,17
app.46891_9_1,DGEBA,"['DGEBA(100)', 'DMS-E09(0)', 'MeTHPA(80)', 'BMDA(0.2)']",2709,16,120.2,18
app.46891_9_1,E09-10,"['DGEBA(90)', 'DMS-E09(5)', 'MeTHPA(80.1)', 'BMDA(0.2)']",2385,15,107.2,19
app.46891_9_1,E09-15,"['DGEBA(85)', 'DMS-E09(15)', 'MeTHPA(83.3)', 'BMDA(0.2)']",2292,12,99.3,20
app.46891_9_1,E09-20,"['DGEBA(80)', 'DMS-E09(20)', 'MeTHPA(83.4)', 'BMDA(0.2)']",2076,13,91.6,21
app.46891_9_1,E09-5,"['DGEBA(90)', 'DMS-E09(0)', 'MeTHPA(80)', 'BMDA(0,2)']",2416,15,115.8,22
app.46891_9_1,Neat DMS-E09,"['DGEBA(0)', 'DMS-E09(100)', 'MeTHPA(82)', 'BMDA(0,2)']",2655,1.8,9,23
c7py00660h,EP,['EP'],1457,69,209,24
c7py00660h,EP/5HNT,"['EP', '(5)HNT']",1964,74,197,25
c7py00660h,EP/5HNT@PDA,"['EP', '(5)HNT@PDA']",2134,83,210,26
c7py00660h,EP/5HNT@PDA@ Fe(OH)3,"['EP', '5HNT@PDA@Fe(OH)3']",2100,77,199,27
d0gc03451g,DGEBA/DDM,"['DGEBA', 'DDM']",1620.7,7.6,143,28
d0gc03451g,SA-GA-EP/DIFFA,"['SA-GA-EP', 'DIFFA']",2188.7,20.7,204,29
expresspolymlett.2011.27,EP(DDM)-Ref,"['DGEBA', 'DDM']",2630,43,173,30
expresspolymlett.2011.27,EP(DDM)/BOX (75/25),"['DGEBA(37.5)', 'DDM(37.5)', 'BOX((25)']",3720,30,158,31
expresspolymlett.2011.27,EP(DETA)-Ref,"['DGEBA' ,'DETA']",2690,33,130,32
expresspolymlett.2011.27,EP(DETA)/BOX (75/25),"['DGEBA(37.5)', 'DETA(37.5)', 'BOX(25)']",3245,28,134,33
expresspolymlett.2011.27,EP(DETA/DDM)-Ref,"['DGEBA', 'DETA', 'DDM']",2690,41,155,34
expresspolymlett.2011.27,EP(DETA/DDM)/BOX (75/25),"['DGEBA(25)', 'DETA(25)', 'DDM(25)', 'BOX(25)']",3560,23,151,35
j.cej.2019.122046,EP,['EP'],1833,44,210,36
j.cej.2019.122046,EP/6LDH-CD,"['EP', '(6)LDH-CD']",2105,38,210,37
j.cej.2019.122046,EP/6LDH-CD + Ferr,"['EP', '(6)LDH-CD+Ferr']",2071,45,210,38
j.cej.2019.122046,EP/6LDH-CD-Ferr,"['EP', '(6)LDH-CD-Ferr']",2064,36,210,39
j.cej.2020.125942_22_0,EP,['EP'],1545,22.5,159,40
j.cej.2020.125942_22_0,EP/3UiO66,"['EP', '(3)UiO66']",1413,28.8,165,41
j.cej.2020.125942_22_0,EP/3UiO66-PDA-PBA,"['EP', '3UiO66-PDA-PBA']",1580,33.4,166,42
j.cej.2021.128647,DBDBBB/ 33DDS,"['DBDBBB', '33DDSa']",1090,7.36,120.4,43
